date,telegram_user_id,user_input,game_name,steam_appid,rating
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Crystal Conquest,2786380,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Communication Breakdown,1573290,5
2024-07-04 14:42:15,498677834,"стория о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти",Breath of Spirits,1536000,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Roman Empire vs. Barbarians,2293520,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Monstronium,1891510,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,SIR ABANDON,1985300,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Gladiator: Sword of Vengeance,577580,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Gladiators Manager,1318190,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Ворота Куликова поля. Битва за Епифань,2687540,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Assassin's Creed® Valhalla - The Siege of Paris,2210141,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Aegis Defenders,371140,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Windfolk: Sky is just the Beginning,1966700,5
2024-07-04 15:22:04,498677834,Medieval strategy with Roman and German utilities,Iron Storm,296180,5
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Citizens: Дальние Земли,1646120,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Complex SKY,1549600,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Mars Colony Builder,1403850,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Synergy,1989070,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Synstasis,828100,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Paradise Architect: Idle Tycoon,2661940,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Cities Restored,2075260,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",My Colony,964130,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",City of Atlantis,1577230,3
2024-07-04 15:31:24,1185394938,"A futuristic city-building game where you manage a sprawling metropolis on a distant planet, balancing resource extraction, citizen happiness, and alien diplomacy",Land of Honey and Wine,2426290,3
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Roman Empire vs. Barbarians,2293520,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Monstronium,1891510,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,SIR ABANDON,1985300,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Gladiator: Sword of Vengeance,577580,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Gladiators Manager,1318190,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Ворота Куликова поля. Битва за Епифань,2687540,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Assassin's Creed® Valhalla - The Siege of Paris,2210141,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Aegis Defenders,371140,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Windfolk: Sky is just the Beginning,1966700,5
2024-07-04 15:58:35,498677834,Medieval strategy with Roman and German utilities,Iron Storm,296180,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Roman Empire vs. Barbarians,2293520,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Monstronium,1891510,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,SIR ABANDON,1985300,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Gladiator: Sword of Vengeance,577580,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Gladiators Manager,1318190,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Ворота Куликова поля. Битва за Епифань,2687540,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Assassin's Creed® Valhalla - The Siege of Paris,2210141,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Aegis Defenders,371140,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Windfolk: Sky is just the Beginning,1966700,5
2024-07-04 16:09:25,498677834,Medieval strategy with Roman and German utilities,Iron Storm,296180,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Field of Glory II: Age of Belisarius,801920,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Wars Across The World: Cortenuova 1237,1665841,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Wars Across The World: Dacia 101,2517030,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Roman Empire vs. Barbarians,2293520,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Steel Division 2 - Tribute to the Liberation of Italy,1640470,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Alea Jacta Est: Parthian Wars,397381,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,The Last Roman Village,998830,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Age of Conquest IV,314970,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Wars Across the World: Carrhae 53,554371,5
2024-07-04 22:23:57,1185394938,medieval strategy with roman and german units,Panzer Corps Grand Campaign '42-'43,279963,5
